$
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     3     1     0  5503  5703  5401    18  1710  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     7     7     7     7   133   133   137     0    54 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    54    63   285    -2     1    17    21 -9999
   190    63    22   299    -3     1    17    21 -9999
   180    71    21    84    -3     1    17    21 -9999
   170    73    61    96    -3     1    17    21 -9999
   160    75   103    91    -2     1    17    20 -9999
   150    77   144    84    -2     1    18    20 -9999
   140    79   187    81    -2     1    18    20 -9999
   130    81   231    79    -1     1    18    20 -9999
   120    82   273    78    -1     1    18    20 -9999
   110    84   282    76    -1     1    17    20 -9999
   100    85   292    75    -1     1    16    19 -9999
    90    87   300    73     0     1    16    19 -9999
    80    90   311    72     0     1    15    19 -9999
    70   128   312    73     0     1    15    18 -9999
    60   165   303    76     1     1    15    17 -9999
    50   202   295    80     2     1    15    16 -9999
    40   239   288    83     2     1    16    15 -9999
    30   277   282    87     3     1    16    14 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   44.5   999.5   24.8   85.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19744    12     7  2023     1    30    85   104   121     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     3     1     0  5003  5303  5301    18  1710  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     7     7     7     7   133   134   138     0    51 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    42   365    72    -3     1    24    20     0
   190    48   364    69    -4     1    23    20     0
   180    53   364    66    -4     1    22    20     0
   170    53   366    63    -4     1    23    19     0
   160    53   364    62    -4     1    23    19     0
   150    53   356    64    -4     1    23    19     0
   140    53   347    65    -4     1    23    19     0
   130    53   340    67    -4     1    23    18     0
   120    53   333    69    -3     1    22    17     0
   110    52   316    73    -2     1    21    17     0
   100    51   303    78    -1     1    20    16     0
    90    51   290    83     0     1    19    15     0
    80    52   281    89     1     1    18    14     0
    70    89   267    91     1     1    17    14     0
    60   126   246    88     0     1    16    13     0
    50   162   225    85     0     1    16    13     0
    40   199   206    81     0     1    15    13     0
    30   236   185    77     0     1    14    13     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.4    1.0    0.0   45.0   999.8   24.9   86.7                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19743    12     7  2023     1    40    61   118   142     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     0     0     0  5103  5503  5402    18  1710  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     7     7     7     7   133   133   138     0    54 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    43   341    60    -1     1    21    20     0
   190    51   332    64     0     1    21    20     0
   180    59   324    68     0     1    21    19     0
   170    62   315    72     0     1    21    20     0
   160    65   313    75     0     1    21    20     0
   150    68   310    75     0     1    20    20     0
   140    70   309    77     0     1    20    20     0
   130    73   307    78     0     1    20    20     0
   120    75   304    79     1     1    20    19     0
   110    76   292    80     2     1    20    19     0
   100    77   278    82     4     1    20    18     0
    90    79   264    83     5     1    20    17     0
    80    85   251    85     6     1    20    17     0
    70   172   240    85     5     1    20    16     0
    60   259   229    83     5     1    20    15     0
    50   345   220    80     5     1    19    14     0
    40   432   211    77     4     1    19    13     0
    30   518   203    74     4     1    19    13     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.4    1.0    0.0   45.4  1000.0   25.1   86.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19742    12     7  2023     1    50    51   170   102     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     5     6     2     0  6104  5602  5901    18  1710  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     7     7     7     7   133   132   137     0    50 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    46   321    65    -9     1    17    16     0
   190    56   328    67    -8     1    17    16     0
   180    65   335    69    -7     1    17    16     0
   170    70   341    71    -5     1    17    16     0
   160    75   337    72    -3     1    16    17     0
   150    80   326    74    -2     1    15    18     0
   140    85   314    76     0     1    15    19     0
   130    89   303    78     2     1    14    20     0
   120    89   292    80     2     1    15    17     0
   110    88   286    82     3     1    16    15     0
   100    88   280    85     4     1    18    13     0
    90    87   275    89     4     1    19    11     0
    80    92   271    92     5     1    20     9     0
    70   176   257    93     5     1    19    10     0
    60   261   233    92     5     1    18    12     0
    50   345   210    90     6     1    17    13     0
    40   430   187    88     6     1    16    14     0
    30   514   164    85     6     1    15    15     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.4    1.0    0.0   44.7   999.9   25.1   86.0                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19741    12     7  2023     2     0    55   123   131     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     5     6     2     0  5304  5302  6101    18  1493  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     7     7   132   131   136     0    55 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    65   374    69    -7     1    21    19     0
   190    75   369    69    -6     1    21    19     0
   180    89   364    69    -6     1    20    18     0
   170   118   359    69    -6     1    21    16     0
   160   148   351    70    -5     1    21    15     0
   150   177   337    71    -5     1    21    13     0
   140   206   323    73    -5     1    22    11     0
   130   233   312    74    -5     1    22    10     0
   120   240   299    76    -4     1    22    10     0
   110   246   295    77    -4     1    22    10     0
   100   253   292    78    -3     1    22    11     0
    90   260   286    79    -3     1    22    11     0
    80   270   283    81    -2     1    23    12     0
    70   336   265    82    -1     1    22    12     0
    60   403   235    82     0     1    22    12     0
    50   469   205    84     1     1    22    11     0
    40   536   177    85     1     1    22    11     0
    30   603   147    86     2     1    22    11     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.4    1.0    0.0   43.2  1000.2   25.3   85.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19740    12     7  2023     2    10    64   133   176     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     6     3     2     0  5004  5203  5002    18  1493  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     7     7   132   132   135     0    49 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    72   420    69     1     1    21     9     0
   190    82   412    70     0     1    20     7     0
   180   100   403    70    -1     1    19     6     0
   170   151   395    70     0     1    20     9     0
   160   201   379    71     0     1    21    11     0
   150   252   356    71     0     1    23    14     0
   140   303   333    71     1     1    24    17     0
   130   349   313    71     1     1    25    19     0
   120   354   290    71     1     1    23    16     0
   110   360   278    72     0     1    20    13     0
   100   365   265    73     0     1    17    10     0
    90   370   253    75    -1     1    15     7     0
    80   380   240    76    -1     1    12     4     0
    70   472   224    77    -2     1    13     6     0
    60   565   204    78    -3     1    15     8     0
    50   657   185    78    -3     1    16     9     0
    40   749   165    79    -4     1    17    11     0
    30   841   145    80    -5     1    18    13     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   42.8  1000.3   25.6   85.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19739    12     7  2023     2    20   117   259   226     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     3     1     1     0  4503  4802  4501    18  1493  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     7     7   133   134   135     0    44 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200   127   418    68    -1     1    24    11     0
   190   149   401    69    -1     1    24    12     0
   180   183   387    69    -2     1    25    13     0
   170   267   370    69    -2     1    25    12     0
   160   350   354    70    -2     1    25    11     0
   150   434   338    69    -2     1    25    10     0
   140   518   323    69    -2     1    26     9     0
   130   591   307    68    -2     1    26     8     0
   120   597   291    68    -3     1    24     8     0
   110   602   282    67    -4     1    22     8     0
   100   607   271    67    -4     1    20     8     0
    90   613   261    67    -5     1    19     8     0
    80   628   252    66    -6     1    17     8     0
    70   779   236    66    -6     1    18     8     0
    60   930   215    66    -6     1    19     8     0
    50  1080   196    67    -6     1    20     8     0
    40  1231   175    67    -5     1    21     8     0
    30  1382   156    68    -5     1    22     8     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   42.6  1000.4   25.7   85.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19738    12     7  2023     2    30   372   493   260     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     3     1     1     0  5006  5204  4801    18   663  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     7     7   132   135   137     0    47 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200   113   397    65    -3     1    27    22     0
   190   131   372    68    -2     1    29    16     0
   180   160   347    71    -1     1    31    10     0
   170   233   325    74    -1     1    30    11     0
   160   307   306    77    -1     1    30    11     0
   150   381   289    79    -2     1    29    11     0
   140   455   274    81    -2     1    28    12     0
   130   519   260    83    -2     1    27    12     0
   120   521   245    85    -3     1    22    11     0
   110   523   229    83    -3     1    17    11     0
   100   524   212    79    -3     1    13    11     0
    90   526   198    75    -4     1     8    11     0
    80   544   185    71    -4     1     4    11     0
    70   789   171    71    -5     1    11    12     0
    60  1035   157    78    -5     1    17    13     0
    50  1280   145    86    -6     1    23    14     0
    40  1526   137    94    -7     1    29    16     0
    30  1771   132   104    -8     1    36    17     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   42.7  1000.5   26.2   84.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19737    12     7  2023     2    40   268   428   287     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     1     0  5706  5804  5902    18   663  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     7     7   132   135   136     0    48 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200   145   334    69    -2     1    26    11     0
   190   170   318    71     0     1    26     9     0
   180   204   305    73     1     1    27     8     0
   170   277   290    76     1     1    26    10     0
   160   350   283    77     2     1    25    12     0
   150   422   279    76     2     1    24    15     0
   140   495   276    75     2     1    23    17     0
   130   560   275    74     2     1    22    19     0
   120   579   271    74     2     1    18    18     0
   110   597   231    71     2     1    14    17     0
   100   615   193    68     2     1    10    15     0
    90   634   157    62     2     1     6    14     0
    80   668   123    53     2     1     2    13     0
    70   931   100    41     1     1     5    15     0
    60  1193    87    24     0     1     8    17     0
    50  1455    86     4    -1     1    10    19     0
    40  1718    93   346    -2     1    13    20     0
    30  1980   109   332    -3     1    16    22     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.4    1.0    0.0   42.8  1000.9   26.5   84.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19736    12     7  2023     2    50   349   740   335     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     2     0     0  5102  5601  5201    18   663  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     7     7     7   132   135   136     0    48 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200   133   311    71     1     1    11    20     0
   190   156   295    74     2     1     9    22     0
   180   193   280    77     2     1     8    23     0
   170   281   268    81     2     1    11    22     0
   160   368   250    82     2     1    14    20     0
   150   456   232    81     2     1    17    18     0
   140   543   213    80     2     1    20    17     0
   130   624   192    79     1     1    22    16     0
   120   664   174    77     2     1    21    19     0
   110   704   144    74     2     1    19    22     0
   100   743   115    69     2     1    17    25     0
    90   783    88    60     3     1    15    28     0
    80   845    65    42     3     1    14    30     0
    70  1183    59    23     3     1    14    29     0
    60  1520    64    11     4     1    14    27     0
    50  1858    74   360     4     1    13    26     0
    40  2195    83   353     4     1    13    25     0
    30  2532    95   346     4     1    13    23     0
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7198    0.6    0.6    0.0   50.5   995.9   33.3   55.8                    
